Name,link,Types of Speaking,Working In,Job Title,Country,Industry,Social Media Links,About
Rayde Luis Baez,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyNTE2NTE=?openConnection=true,Speakers,Other,Founder,Spain,Sports,"['https://www.linkedin.com/in/raydeluisbt', 'https://x.com/raydeluisbt', 'https://instagram.com/raydeluisbt']","Dominican economist, relocated to Spain, with almost two decades fully dedicated to the sports & entertainment industry. Founded and runs an international partnerships & business strategy advisory firm, under his own vision and brand called The Connect, from where he serves as Strategic Advisor to different companies, like Euroleague Basketball, Rakuten Inc., and Palladium Hotel Group, to name a few. Also co-founded and is a Managing Partner of SPORTHINK, a specialized advisory firm focused in investment capital sourcing for sports entities that seek financing and investment into technological transformation activities. Has been the Managing Director of an international sports marketing agency, leading business development for Southern Europe and the Americas, while handling the agency operations in the Iberian Peninsula. Previously, was part of the leadership structure of Euroleague Basketball in its marketing partnerships department, while also undertaking the strategic direction of the league’s digital business, and content marketing operations, creating award winning branded content and activation projects.
 
Member of the World Football Summit Advisory Board, and the Mentorship Board of the Global Sports Innovation Center powered by Microsoft.
 
Throughout his career has worked in commercial and activation projects with Euroleague Basketball, MotoGP, the NBA and some of its franchises, some of the top Major League Baseball franchises, LaLiga, the Spanish Football Federation (RFEF), the World Surf League, FC Barcelona, Real Madrid, Atlético de Madrid, Valencia CF, and several other sports properties. On the brand partnership building and activation side, has worked and continues to have a working relationship with decision makers at some of the renowned global brands in the space, namely TAG Heuer, BMW, Santander Bank, Red Bull, TIDAL, New Balance, Turkish Airlines, Adidas, 2K Sports, Nike, Spalding, New Era Cap, and The Upper Deck Company, amongst many, always achieving greater than expected return on investment."
Silvia Mogas,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyMzA4ODQ=?openConnection=true,Speakers,Startup,Founder,Spain,"Blockchain
Marketing","['https://www.linkedin.com/in/silviamogas', 'https://x.com/silviamogas', 'https://instagram.com/silviamogas.eth', 'https://www.facebook.com/silviamogas.eth']","Silvia Mogas is the Founder of Blockchain Marketing Boutique, a Marketing Agency that provides strategy and marketing support for Web2 brands and Web3 native companies seeking to enter the Web3 space also she is an entrepreneur at ESADE University. She is an International public speaker and lecturer.

Silvia has a deep passion for startups and is committed to mentoring and supporting them. She mentors in the following accelerators: R3 Corda, Newchip, and the SBC Inclusive Fintech & DeFi Program. 

Silvia holds an Executive MBA, a Postdegree in Marketing, and a Chartered Institute of Marketing Diploma, she also holds a Tourism Degree with a Marketing specialization."
Beatriz Oficialdegui,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyMjk2Mjc=?openConnection=true,Speakers,Corporation,Director,Spain,Travel,['https://www.linkedin.com/in/beatrizoficialdegui'],"After working at Google's headquarters in Ireland for 5 years managing clients in the tourism sector for the Spanish market, I have been at Destinia since 2010 as the person in charge of designing and implementing Destinia's Marketing and Communication strategy, and thus continue promoting the image, brand and reputation of the company.

With more than 18 years of experience in the world of marketing and especially in the world of online marketing, I consider myself an expert defining multi-channel strategies helping me lead a powerful team focused on increasing sales through different channels."
Jonathan Clarke,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyMDQ1Njk=?openConnection=true,Speakers,Corporation,Administrative,Spain,"Advertising
Cloud","['https://www.linkedin.com/in/https://www.linkedin.com/in/jonathanbclarke/', 'https://x.com/https://twitter.com/ClarkeJonathan9']","After 4 years in London and 9 in Paris as a founder, I moved to Madrid to further empower the startup community via an open acceleration program with a whole bunch of benefits such as free cloud tech credits and technical advice. Interested in products and human projects!"
Álvaro Pérez Bello,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIwOTg4NDg=?openConnection=true,Speakers,Startup,"C-Level
CoFounder",Spain,Energy Efficiency,[],"Álvaro is Founder and CPO at Clevergy. He has extensive experience in IoT and ML application development and is currently leading Product at Clevergy. Prior to working at Clevergy, he worked at Altair as a Senior Product Manager, leading the IoT division and bringing an IoT platform to Connected Product Developers. He has also provided digital transformation solutions to manufacturing companies in consultancy firms. Additionally, he is a Professor at University Pontificia Comillas, where he teaches Embedded Software development to Masters students."
Isabel Gorgoso de la Peña,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIwOTU5NDc=?openConnection=true,Speakers,Corporation,Director,Spain,Energy Retail,[],"Telecommunications Engineer with over 20 years of experience. She has held various roles in the telecommunications network field, consultancy, business development and sales. 
Most of her career has been closely tied to the customer experience and energy sector, where she has led public charging and smart cities projects in major energy companies.
Currently, she is responsible for one of the most innovative business lines within Cepsa's new strategic plan, Positive Motion."
Julen Rodríguez Sola,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjExNTA2Nzk=?openConnection=true,Speakers,Other,CEO,Spain,Social Impact,[],Entrepreneurship for social change
Antoine Nussenbaum,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjE5NzYxNTc=?openConnection=true,Speakers,Investor,CoFounder,United Kingdom,Other,['https://www.linkedin.com/in/https://www.linkedin.com/in/antoinenussenbaum/'],"We cofounded Felix Capital in 2015, a venture firm for the creative class, at the intersection of technology and creativity, focused on opportunities in digital lifestyle.

Our mission is to support ambitious brand builders with big ideas, capturing new behaviors and cultural shifts. We are after new branded propositions, either through innovative products, services or content. We are also passionate about software builders reinventing the experience between brands/retailers and their customers, reshaping commerce, retail, marketing or hospitality. 

Our portfolio includes the like of Farfetch, Mirakl, Peloton, Oatly, Goop, Deliveroo, Forter, HighSnobiety, TravelPerk, Mejuri, Unmind, Moonbug, YFood amongst other exciting entrepreneurial journeys.

I'm currently a member of the board at TravelPerk and Ukio in Spain, as well as Unmind, Lick, SellerX, HungryPanda and Manual."
Luis Martin,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjE3MTA4Mzk=?openConnection=true,Speakers,Hub,CoFounder,Spain,Aerospace and Aeronautics,['https://www.linkedin.com/in/berkelio/'],"A whole career making an impact with digital technology from Enterprise to Consumer users, creating products with Corporates and StartUps"
Carles Morales,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjA5NzE0MTc=?openConnection=true,Speakers,Startup,CEO,Spain,Smart Cities,"['https://x.com/MoralesCarles', 'https://www.linkedin.com/in/carlesmorales/']","CEO & Founding Partner of Orpheus.
Industrial engineer, MSc in Artificial Intelligence.
Working hard to turn professional buildings to healthy, confortable and sustainable spaces."
Faysal Oudmine,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjA5NTM1ODk=?openConnection=true,Speakers,Startup,CEO,France,"Fintech
Payments","['https://www.linkedin.com/in/faysal-oudmine-a3a75244', 'https://x.com/FoudMine']","Faysal is a Moroccan entrepreneur, who founded three successful companies before co-founding Fintecture in 2017 in France. Faysal and his co-founders saw a need for innovation in the gigantic market of B2B payments. Fintecture offers merchants a range of proprietary payment solutions without intermediaries helping them increase turnover, drive down costs and simplify payments. Faysal handled business development and later lead the product before getting elected as the CEO in 2019. Today, Fintecture employs 80 people, has over 10,000 merchants who trust it with their payments and has more than 450,000 payers using its payment solutions."
Aurore Falque-Pierrotin,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjA5MDk0OTI=?openConnection=true,Speakers,Investor,Partner,France,Investment Solution,['https://www.linkedin.com/in/aurore-falque-pierrotin-54b84a59'],"I'm a Partner at Samaipata, a pan-European early stage VC fund"
Fabio Lancellotti,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTkzODc1MTk=?openConnection=true,Speakers,Investor,Partner,France,"Artificial Intelligence
Automotive
Green and Clean Tech Solutions",['https://www.linkedin.com/in/fabio-lancellotti-9662621/'],"Investor in early and growth stage technology start-ups at Aster Capital. I work across Europe and I am interested in especially SaaS and recurring revenue business models.
We support entrepreneurs that have bold ideas to turn digital and sustainable traditional slow moving sectors. At Aster we typically lead early stage deals, investing between $0.5M-$5M and are technology agnostic. Occasionally, I am acting as Business Angel and like helping both first time and more experienced entrepreneurs in their pre-seed phase of development."
Stephanie Hospital,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTgzNTc0MDg=?openConnection=true,Speakers,Investor,CEO,France,Fintech,"['https://x.com/Stephhospital', 'https://www.linkedin.com/in/stephaniehospital', 'https://www.facebook.com/www.facebook.com/stephanie.hospital']","Stéphanie Hospital is the Founder and CEO of OneRagtime, a disruptive venture capital fund that sources, backs, and scales the most promising early-stage software and tech start-ups across Europe. A “fund-as-a-platform,” OneRagtime combines unparalleled investing insight with a robust international network, hybrid fund, club deal model, and in-house technology to offer next-generation venture capital to its investors and entrepreneurs. The fund invests tickets from 700K to 5M€. In less than five years since its creation, OneRagtime already has over 40 outstanding European companies in its portfolio—including onoff, +Simple, Make.org, HomaGames, PhantomBuster, Loopsider, MatchTune, Glose (exited to Medium), and Jellysmack, its first double unicorn that OneRagtime seeded from Day One."
Pauline Roux,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTc5MjczMzY=?openConnection=true,Speakers,Investor,Partner,France,"Aerospace and Aeronautics
AgriTech
Banking
Biology and Life Sciences
Consumer Electronics
Cyber Security
Data and Analytics
Energy Efficiency
Fintech
Green and Clean Tech Solutions
Healthcare
Industrial Biotech
Insurance
Logistics Solutions
Payments
Productivity Services
Retail
Robotics
Service Provider
Smart Cities
Software Development
Waste Management and Recycling","['https://x.com/rouxpau?lang=en', 'https://www.linkedin.com/in/paulineroux?originalSubdomain=fr']","Pauline is partner at Elaia. Prior to joining Elaia, Pauline worked in investment banking, in the Corporate Finance team of Bryan, Garnier & Co where she executed M&A/fundraising/IPOs transactions for the Tech sector.

Pauline also serves at Venture Council of Invest Europe, is co-president of the Venture & Growth commission at France Invest, gives classes at France Invest and is mentor at several Tech acceleration programs in Paris."
Lubomila Jordanova,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjExMjEwMjQ=?openConnection=true,Speakers,Startup,"CEO
CoFounder",Germany,Software Development,"['https://www.linkedin.com/in/ljordanova/', 'https://x.com/lubomilaj', 'https://instagram.com/lubomila.earth']","Lubomila Jordanova is the co-founder and CEO of Plan A, a software provider offering an end-to-end platform that uses machine learning and science to enable businesses to reduce their emissions and improve and report on their ESG performance. The company was recently named World Economic Forum Technology Pioneer 2022. Lubomila is also co-founder of the Greentech Alliance, a community of more than 2,000 Greentech startups connected to more than 500 advisors from VC, media, and business. Prior to Plan A, she worked in investment banking and venture capital as well as the fintech industry in Asia and Europe. Lubomila has been recognised as an Obama Europe Leader 2022, MIT Innovator Under 35 Europe 2022, Marshall Fund Fellow 2022, Top 50 Women Entrepreneurs in Germany 2022 (Handelsblatt) and 30 under 30 (Forbes), among others."
Luis Oliveira,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjAwMjczMTU=?openConnection=true,Speakers,Startup,"C-Level
CoFounder",The Netherlands,Telecom and IT Services,['https://www.linkedin.com/in/lpcoliveira'],Tech Entrepreneur. Experience in advisory (Corporate Finance at Deloitte and Acceleration Manager at HighTechXL). Background in Economics and Finance.
Nicholas Zylberglajt,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNjcwMzI=?openConnection=true,Speakers,Startup,CEO,United Kingdom,"Drones
IoT IoE and Sensors
Robotics","['https://www.linkedin.com/in/nicholasz', 'https://x.com/niczyl']","Nicholas Zylberglajt, CEO of Unmanned Life. An entrepreneur with a proven track record of building partnerships and business growth, Nicholas has over 15 years of business, strategy, innovation and investment experience with corporations. He previously led multi-stakeholder and multinational negotiations and strategic partnerships."
Unai Franco,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIxOTI1OTE=?openConnection=true,Speakers,Investor,Partner,United Kingdom,Other,['https://www.linkedin.com/in/ufranco/'],"Investor in tech and co-founder of White Peak Partners, corporate finance advisory firm, specialises in energy transition, cleantech and industry 4.0, among others. Former Investment Banker with Merrill Lynch (London) in Technology, Energy/ Renewables, Industrials, and former R&D Engineer at Daimler (Mercedes Benz, Germany), specialised in intelligent technology solutions and alternative power systems, among others. MBA from London Business School and Masters in Electronics & Automation Engineering. Fluent in English, German, Italian & Spanish."
Luca Bocchio,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjE2NzkwMjM=?openConnection=true,Speakers,Investor,Partner,United Kingdom,"Cloud
Consumer and Ecommerce
Fintech
Software Development","['https://x.com/luca_bocchio', 'https://www.linkedin.com/in/luca-bocchio-0247a621/']","Luca Bocchio joined Accel in 2018 and has a particular interest in next generation consumer and fintech businesses, as well as low-code/no-code and software companies enabling the future of work.

Luca led Accel’s investment in BRYTER, brumbrum (acquired by Cazoo), Charles, Insify, kevin., Luko, Lydia, Swan and Trade Republic. He also works closely with sennder and Soldo, and is on the board of Vinted

Prior to Accel, Luca was with H14, where he invested in global early and growth stage opportunities, such as Deliveroo, GetYourGuide, Flixbus, SumUp, and SecretEscapes. Luca previously advised technology, industrial, and consumer companies on strategy with Bain & Co. in Europe and Asia.

Luca is from Italy and graduated from LIUC University."
Jacky Abitbol,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjAwODU1MjM=?openConnection=true,Speakers,Investor,"Investor
Partner",France,"Artificial Intelligence
Consumer and Ecommerce
Fintech
Healthcare","['https://instagram.com/natmaxabit', 'https://x.com/natmaxabit', 'https://www.linkedin.com/in/jacky-abitbol-875a632']","Jacky Abitbol works as Managing Partner of the Cathay Innovation fund within Cathay Capital. He is in charge of the European activities at Cathay Innovation, and has conducted over 40 investments, including Glovo, Ledger, Owkin, Wallbox, Descartes and Alma.
He benefits from over 20 years of advisory and operational experience in Digital, with a particular expertise in venture capital and corporate development.
 
Prior to joining Cathay Capital, Jacky was a Venture Partner with Iris Capital in Israel from 2012 to 2015. 
Before, he was Vice President for Corporate Development at Orange Digital from 2012 to 2013 and Investment Director at Orange Capital from 2011 to 2012.
 
Previously, Jacky Abitbol was Business Development & Sales Director for the mobile division of SanDisk from 2006 to 2011 and worked as a Corporate and Business Development Director at GFI in Spain from 2003 to 2006. 
 
He started his career as part of the management team of Fantine Group (now Aviv Ventures).
Jacky holds a MBA from Boston University and a degree in Business Administration from Madrid Business School."
Ernest Sánchez,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMTc5MjczMjA=?openConnection=true,Speakers,Investor,CEO,Spain,Investment Solution,"['https://x.com/ernestsanchez01', 'https://www.linkedin.com/in/ernest-sanchez']","Managing Partner at Nuclio, an ecosystem that creates startups. He is also partner and co-founder of Nekko, a global venture capital fund specialized in the internationalization of startups in Europe and Asia.

He has a degree in Business Administration and Management from the University of Barcelona, in Aviation Management from Stanford University and VC / PE from Harvard Business School. He has more than 20 years of experience in venture capital and entrepreneurship."
Sandra Särav,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzNTg2Mjc=?openConnection=true,Speakers,Government,Institution,Estonia,Government and Regulation,"['https://x.com/sandra_sarav', 'https://www.linkedin.com/in/sandrasarav', 'https://instagram.com/sandrasarav']","A well-versed digital policy expert with Estonian Government background, and with experience in EU-level decision-making. Adept in policy-crafting, an accomplished public speaker with legal qualifications, and most recent experience in regulatory and sustainability work from a European unicorn."
Marisa Schneider,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIzMjUxNzg=?openConnection=true,Speakers,Institution,Other,Germany,Other,['https://www.linkedin.com/in/marisa-schneider'],"Marisa Schneider manages international partnerships and activities at UnternehmerTUM in Munich, Germany. She connects Europe’s leading center for business creation with like-minded institutions and stakeholders from abroad and therewith fosters the international dialogue in the world of innovation. While Munich is continuously developing into one of Europe’s entrepreneurship hotspots, Marisa is helping tech start-ups worldwide to get access to the local innovation ecosystem. Currently, she is running Rise Europe, a new network of the 20 leading start-up ecosystem builders empowering European start-ups to make a positive global impact."
Jayne Chan,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyODA3NzE=?openConnection=true,Speakers,Government,Head,Hong Kong,Government and Regulation,['https://www.linkedin.com/in/https://www.linkedin.com/in/jayne-chan-7433a7/'],"Jayne is Head of StartmeupHK at Invest Hong Kong (InvestHK), the government department responsible for attracting and retaining Foreign Direct Investment into Hong Kong. Her role at StartmeupHK is to attract innovative startups, investors and other stakeholders to Hong Kong, provide information and connections to support these companies setting up in the city, and help build the ecosystem to transform the city into a global hub for innovation and entrepreneurship."
Rodolfo Condessa,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjIyNDc2MDc=?openConnection=true,Speakers,Investor,Principal,Portugal,Investment Solution,['https://www.linkedin.com/in/rodolfocondessa'],"Rodolfo joined Armilar Venture Partners in 2019 and serves the firm by sourcing and screening new investment opportunities, structuring and executing deals, and supporting portfolio companies. He focuses on European early-stage software and data-driven startups and looks for teams who combine deep technology expertise with a market-oriented mindset. Rodolfo has a degree in Aerospace Engineering from Instituto Superior Técnico and holds an MBA from the Harvard Business School. He started his career as a Trainee at the European Space Agency and has over 14 years of prior experience in space policy, tech transfer, and sales."
Cristina Fanjul,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjE3OTk2NTM=?openConnection=true,Speakers,Institution,Director,Spain,"Industrial Services
Other",['https://www.linkedin.com/in/Cristinafanjulalonso/'],"Ms. Cristina Fanjul Alonso is the Director of CEEI Asturias/ Business Innovation Centre Asturias, Incubator and accelerator of technology-based companies & spin-offs www.ceei.es where she leads a wide portfolio of services to entrepreneurs and young innovative companies. More than 200 startups were supported last 5 years in biotechnology&health, digital& creative or Industry 4.0 fields._x000D_
_x000D_
She has strong links with the European ecosystem, being Vicepresident of EBN- European Business Network www.ebn.eu-, coordinator of several international projects, member of Advisory Committees as MSCA- Marie Curie actions- and expertise as evaluator in EU initiatives as the EIC Accelerator, flagship programme for breakthrough innovation business scaling-up."
Emily González Cebrián-Lombán,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjE0Mjc1MTc=?openConnection=true,Speakers,Startup,"CEO
CoFounder",Spain,Other,['https://www.linkedin.com/in/https://www.linkedin.com/in/emilygcebrianlomban/'],"Co-founder & CEO @Froged, the next must-have Product Success & Support Platform for SaaS, helping them to improve their Conversion rates, reduce Churn and take care of their customer's whole lifecycle."
Jose Cordeiro,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjE0MDA1MjY=?openConnection=true,Speakers,Institution,Director,Spain,Healthcare,"['https://www.linkedin.com/in/josecordeiro/', 'https://x.com/cordeiro', 'https://instagram.com/Josecordeiro2045', 'https://www.facebook.com/Josecordeiro2045']",www.cordeiro.org
Sean Seton-Rogers,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjAxMTU4MTk=?openConnection=true,Speakers,Investor,"Investor
Partner",United Kingdom,Fintech,"['https://x.com/setonrog', 'https://www.linkedin.com/in/setonrog/']","Sean is a founding Partner at PROfounders Capital, an early-stage venture capital fund investing in European digital startups. The fund looks to invest in technology companies that fix broken customer experiences and has invested and supported leading startups such as Made.com, Unity, GetYourGuide, SideQuestVR, and Small Giant Games. Sean co-founded PROfounders in 2010 after joining from Benchmark Capital, and in 2019 and 2020 he was selected by Forbes for the Midas List Europe. Sean has an engineering degree from Rice University and an MBA from Wharton."
Mariya Konstantinova,https://platform.southsummit.co/event/south-summit-2023/person/RXZlbnRQZW9wbGVfMjA4OTA2Mzg=?openConnection=true,Speakers,Corporation,C-Level,Japan,Food Industry,"['https://instagram.com/missmariyakonstantinova', 'https://x.com/mariya_k__', 'https://www.linkedin.com/in/mariya-konstantinova/']","During the last 10+ years, Mariya has gained solid experience in finance, working also as a CFO for the Japanese and Chinese affiliates of AGRANA Group and leading investment projects in Algeria, Russia, China and Japan, which equipped her with knowledge and skills that are be invaluable for an investor in the food sector. 
Mariya is a FoodTech pioneer, supporting AgTech, FoodScience, FoodService, Coaching, Delivery and Retail. She is supporting startups developing new food products answering the need for more transparency, health, and environmental concerns."
